Index,LCSC#,MPN,Manufacturer,Package,,,,Quantity,MOQ,,Unit Price($),Extended Price($),Product Link
1,C23733,CL05A475MP5NRNC,Samsung Electro-Mechanics,402,,,,50,50,,0.0049,0.25,https://www.lcsc.com/product-detail/C23733.html
2,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,402,,,,100,100,,0.003,0.3,https://www.lcsc.com/product-detail/C52923.html
3,C272875,CC0402KRX7R9BB473,YAGEO,402,,,,100,100,,0.0024,0.24,https://www.lcsc.com/product-detail/C272875.html
4,C1523,0402B102K500NT,FH,402,,,,100,100,,0.0011,0.11,https://www.lcsc.com/product-detail/C1523.html
5,C1546,0402CG101J500NT,FH,402,,,,100,100,,0.001,0.1,https://www.lcsc.com/product-detail/C1546.html
6,C307331,CL05B104KB54PNC,Samsung Electro-Mechanics,402,,,,100,100,,0.0038,0.38,https://www.lcsc.com/product-detail/C307331.html
7,C1548,0402CG150J500NT,FH,402,,,,100,100,,0.001,0.1,https://www.lcsc.com/product-detail/C1548.html
8,C1552,0402CG1R5C500NT,FH,402,,,,100,100,,0.0012,0.12,https://www.lcsc.com/product-detail/C1552.html
9,C1550,0402CG1R0C500NT,FH,402,,,,100,100,,0.0012,0.12,https://www.lcsc.com/product-detail/C1550.html
10,C15195,CL05B103KB5NNNC,Samsung Electro-Mechanics,402,,,,100,100,,0.0013,0.13,https://www.lcsc.com/product-detail/C15195.html
11,C72038,19-213/Y2C-CQ2R2L/3T(CY),EVERLIGHT,603,,,,30,30,,0.0208,0.62,https://www.lcsc.com/product-detail/C72038.html
12,C8598,B5819W SL,JSCJ,SOD-123,,,,20,20,,0.023,0.46,https://www.lcsc.com/product-detail/C8598.html
13,C2290,KT-0603W,Hubei KENTO Elec,603,,,,50,50,,0.0106,0.53,https://www.lcsc.com/product-detail/C2290.html
14,C7420320,1N4148WT,R+O,SOD-523,,,,100,50,,0.0111,1.11,https://www.lcsc.com/product-detail/C7420320.html
15,C76763,MLG1005S15NJT000,TDK,402,,,,10,10,,0.0064,0.06,https://www.lcsc.com/product-detail/C76763.html
16,C76732,MLF1608E100KTD00,TDK,603,,,,10,10,,0.0417,0.42,https://www.lcsc.com/product-detail/C76732.html
17,C76775,MLG1005S3N9BT000,TDK,402,,,,10,10,,0.0083,0.08,https://www.lcsc.com/product-detail/C76775.html
18,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,,,5,5,,0.1762,0.88,https://www.lcsc.com/product-detail/C165948.html
